,Cand,party,num,cand_status
204,Мырзакматов Мелисбек Жоошбаевич,Улуттар биримдиги,1.0,True
205,Маматов Канатбек Мурзаевич,Ата-Журт Кыргызстан,42.0,True
206,Кыдыкбаев Жаныбек Султанович,Ата-Журт Кыргызстан,43.0,True
207,Болотбеков Бейшенбек,Улуттар биримдиги,3.0,True
208,Попель Валерия Анатольевна,Ата-Журт Кыргызстан,44.0,True
209,Ладожинская Надежда Ивановна,Улуттар биримдиги,4.0,True
210,Ишматов Шерзод,Улуттар биримдиги,11.0,True
211,Дунларова Жамиля Калнуровна,Улуттар биримдиги,12.0,True
212,Абдрахманов Уланбек Есенгельдиевич,Ордо,25.0,True
213,Искандаров Курбанбай Алибаевич,Улуттар биримдиги,13.0,True
214,Иванов Андрей Сергеевич,Улуттар биримдиги,5.0,True
215,Эратов Сайитжан Саматович,Улуттар биримдиги,7.0,True
216,Турганбаев Айбек Калмакович,Улуттар биримдиги,9.0,True
217,Бешимов Аскар Жолчубекович,Улуттар биримдиги,14.0,False
218,Бейшенов Майрамбек Мырзабекович,Улуттар биримдиги,15.0,True
219,Исабеков Кубанычбек Сатиндиевич,Улуттар биримдиги,6.0,True
220,Дороев Азамат Кубанычбекович,Ишеним,1.0,True
221,Аматов Рысбай Аматович,Ишеним,2.0,True
222,Сапарбаева Бактыгуль Кененсариевна,Улуттар биримдиги,16.0,True
223,Эгамбердиева Джумагуль,Улуттар биримдиги,8.0,True
224,Макешов Чингиз Дуйшенкулович,Ынтымак,1.0,True
225,Маматалиев Марлен Абдырахманович,Ынтымак,2.0,True
226,Куручбеков Аскарбек Бактыбекович,Ыйман Нуру,2.0,True
227,Алиев Медербек Кубанычевич,Ишеним,3.0,True
228,Тентишев Бакыт Эркинович,Ынтымак,3.0,True
229,Мамажакыпова Чынара Жуманазаровна,Ыйман Нуру,3.0,False
230,Ашимова Динара Ашимовна,Ыйман Нуру,4.0,True
231,Жолдошбеков Бактыбек Абдылдабекович,Улуттар биримдиги,18.0,True
232,Ильина Жанна Васильевна,Ишеним,4.0,True
233,Сыдыгалиев Нурбек Омурбекович,Ишеним,5.0,True
234,Акимов Турат Кудайбергенович,Улуттар биримдиги,19.0,True
235,Исатбек кызы Аида,Ынтымак,4.0,True
236,Ормонов Улугбек Зулпукарович,Ишеним,6.0,True
237,Рахимов Мамыржан Тойчиевич,Ишеним,7.0,True
238,Карабаева Канымбу Исираиловна,Ишеним,18.0,True
239,Аманова Бурун Кушбековна,Ишеним,8.0,True
240,Джусупов Эмилбек Рамидинович,Ишеним,9.0,True
241,Досалиев Акуналы Атамырзаевич,Ишеним,10.0,True
242,Култаева Умут Баймуратовна,Улуттар биримдиги,20.0,True
243,Федоров Дмитрий Иванович,Улуттар биримдиги,10.0,True
244,Аккулов Абдижапар Ураимович,Улуттар биримдиги,21.0,True
245,Кадыров Талантбек,Улуттар биримдиги,37.0,True
246,Асанов Чолпонбек Жусупович,Улуттар биримдиги,22.0,True
247,Боронбаева Эльнура Кочконовна,Улуттар биримдиги,36.0,True
248,Бегалиев Бакай Кылычбекович,Улуттар биримдиги,23.0,True
249,Кайыпов Абдыкапар Турдуевич,Улуттар биримдиги,35.0,True
250,Келдибаев Сагындык Аширалиевич,Ынтымак,5.0,False
251,Жоробеков Тариел Улукбекович,Ынтымак,6.0,True
252,Алдакулов Тургунбай Абдирасулович,Улуттар биримдиги,34.0,True
253,Омурзаков Суйунбек Абдылдаевич,Ишеним,11.0,True
254,Абдалиев Кабыл Кушбакович,Ишеним,20.0,True
255,Муратова Гулкайыр Каныбековна,Ишеним,12.0,True
256,Мажитова Шарапаткан,Ынтымак,8.0,True
257,Шабазов Бахридин Валиевич,Ишеним,13.0,True
258,Абдыхалыков Нурлан Нишанбаевич,Ишеним,14.0,True
259,Шыкмаматов Алмамбет Насырканович,Ынтымак,9.0,True
260,Базарбаев Сагынбек Төлөнбаевич,Ыйман Нуру,6.0,True
261,Кайыпов Эржан Сулайманович,Улуттар биримдиги,38.0,True
262,Карыбеков Арзыбек Кенжекулович,Ынтымак,10.0,False
263,Абиров Мыктыбек Медетбекович,Улуттар биримдиги,33.0,True
264,Акимов Абдиталип Паттаевич,Ынтымак,11.0,True
265,Темирбаева Миргул Омурзаковна,Ишеним,15.0,True
266,Жумабаев Элгис Каримжанович,Улуттар биримдиги,39.0,True
267,Турдубаева Гулсара,Улуттар биримдиги,32.0,True
268,Айдаралиев Эрнис Шарабидинович,Ыйман Нуру,7.0,True
269,Маматова Самара Камилжановна,Улуттар биримдиги,40.0,True
270,Тагаев Алманбет Анарбаевич,Ишеним,22.0,True
271,Арапбаев Руслан Арапбаевич,Ишеним,16.0,True
272,Туманбаева Рада Мураталыевна,Ынтымак,12.0,True
273,Мамытов Абдылдабек Жаныбекович,Улуттар биримдиги,41.0,True
274,Умарбеков Шерзодбек Абдурашитович,Ишеним,23.0,True
275,Исмаилов Уланбек Чекишевич,Ишеним,17.0,True
276,Алыбаева Жаңыл Ишенбековна,Ыйман Нуру,8.0,False
277,Подобедов Олег Владимирович,Ишеним,37.0,True
278,Карабаев Нурбек Шайлообекович,Улуттар биримдиги,30.0,True
279,Түлөбаев Балбак Зарлыкович,Ынтымак,13.0,True
280,Султанбекова Чолпон Аалыевна,Ишеним,24.0,True
281,Камалов Эрлан Токтоназарович,Ыйман Нуру,9.0,True
282,Касымбеков Жаркынбек Орозбекович,Ынтымак,14.0,True
283,Степанюк Александр Владимирович,Ишеним,38.0,True
284,Абдылдаев Азамат Адылбекович,Улуттар биримдиги,42.0,True
285,Боромбаев Азимкул Рыскулович,Ишеним,25.0,True
286,Кокулов Эрулан Калчороевич,Ынтымак,15.0,True
287,Эркебаев Азат Абдыганиевич,Ишеним,26.0,True
288,Муратбеков Табылды Муратбекович,Ыйман Нуру,15.0,True
289,Болотов Нурбек,Улуттар биримдиги,31.0,True
290,Турсункулов Кутман Нурланович,Ынтымак,17.0,True
291,Маткаликов Абдупата Жороевич,Ишеним,39.0,True
292,Даанышман Мирлан,Ыйман Нуру,11.0,True
293,Шаменова Гулжамал Аттокуровна,Ишеним,40.0,True
294,Калыкова Дарыйка Буркановна,Ишеним,27.0,True
295,Калыкова Айпери Кубанычбековна,Ыйман Нуру,12.0,True
296,Абакиров Илисбек Чокаевич,Ишеним,41.0,True
297,Асанов Шавкат Сатымкулович,Ишеним,28.0,True
298,Кыдыкеев Сыргак Билялович,Ынтымак,18.0,True
299,Тобокел уулу Алтынбек,Ишеним,42.0,True
300,Мирзалиев Мирхамза Алангирович,Улуттар биримдиги,29.0,True
301,Солтобаев Тилек Асанович,Ишеним,43.0,True
302,Эргешов Казыбек Кочкорович,Ынтымак,19.0,True
303,Алимжан уулу Санжар,Ишеним,29.0,True
304,Медетбеков Артур Капарович,Улуттар биримдиги,2.0,True
305,Лурова Лейла Хияновна,Ынтымак,16.0,True
306,Саланов Кылычбек Арзыбекович,Улуттар биримдиги,43.0,True
307,Момбекова Бактыгүл Замирбековна,Улуттар биримдиги,44.0,True
308,Турусбекова Эльмира Султанбековна,Ишеним,30.0,True
309,Абдибаева Айсара Нышановна,Ишеним,44.0,True
310,Рустамбек уулу Советбек,Ишеним,45.0,True
311,Мамыров Абдырайым Мамырович,Ынтымак,21.0,True
312,Алкадырова Сеиль Муканбетовна,Улуттар биримдиги,28.0,True
313,Мидин уулу Канатбек,Ынтымак,22.0,True
314,Тагаев Заир Муталович,Ишеним,46.0,True
315,Файзуллаев Нурилло Шукириллоевич,Ынтымак,23.0,True
316,Жалолидинов Рашид Сайпидинович,Ишеним,31.0,True
317,Холодкова Елена Борисовна,Улуттар биримдиги,45.0,True
318,Ташматов Алишер Богардиевич,Улуттар биримдиги,27.0,True
319,Телеушева Айнура Толенбергеновна,Ынтымак,24.0,True
320,Ормонов Жапарбек Туратович,Ишеним,32.0,True
321,Акаев Кылычбек Муталиевич,Ынтымак,25.0,True
322,Арзыбаев Ныязбек Ирашевич,Ишеним,47.0,True
323,Калбердиева Мавлюда Калмаматовна,Ишеним,33.0,True
324,Кочкарова Эристина Азрет-Алиевна,Ишеним,48.0,True
325,Сейтказиев Замирбек Сайдакматович,Ынтымак,26.0,True
326,Турусбеков Бактыбек Сагындыкович,Ынтымак,27.0,True
327,Мураталиев Марат Молдонович,Ишеним,35.0,True
328,Мадияров Токтосун Ормонбекович,Ишеним,49.0,True
329,Осмонова Айнура Шермаматовна,Ишеним,36.0,True
330,Ташибекова Гульнара Адыловна,Ынтымак,28.0,True
331,Шейшеканов Данияр Турдубекович,Ишеним,50.0,True
332,Таалайбек кызы Жылдыз,Ишеним,19.0,True
333,Сыдыков Мурадил Жанышбекович,Ынтымак,29.0,True
334,Молдоярова Дамира Батыркуловна,Ишеним,21.0,True
335,Каналиев Бактыбек Эркинович,Ишеним,51.0,True
336,Дуулатов Айбек Дуулатович,Ынтымак,30.0,True
337,Норматов Мухудин Маликович,Улуттар биримдиги,26.0,True
338,Шашко Ирина Васильевна,Ишеним,52.0,True
339,Примкулов Мирланбек Исламбекович,Ишеним,53.0,True
340,Жакышов Русланбек Шергазиевич,Ишеним,54.0,True
341,Абакиров Ноорузбек Курбанбекович,Улуттар биримдиги,25.0,True
342,Гусейнова Сабина Этибар Заде,Улуттар биримдиги,24.0,True
343,Карыбаев Урмат,Улуттар биримдиги,46.0,True
344,Жаманбаев Бакытбек Ташибекович,Улуттар биримдиги,47.0,True
345,Джанузакова Салтанат Смаиловна,Улуттар биримдиги,48.0,True
